market,volume_24h,num_trades,num_whales,whale_volume,whale_pct,mean_trade,median_trade,max_trade,total_traded
"Bitcoin Up or Down - January 16, 4PM ET",200.0,58,58,138441.81572,100.0,2386.927857241379,506.555685,39960.0,138441.81572
Timberwolves vs. Rockets: O/U 223.5,8546.056733,74,55,45510.482852,90.31129475966748,680.9851709729729,671.745,1405.5600000000002,50392.902652
Spread: Bulls (-2.5),63.561173,54,54,25874.848016,100.0,479.1638521481481,240.3096,2499.999999,25874.848016
Will Donald Trump win the 2028 Republican presiden,88401.94636900003,156,49,43637.858669999994,46.30126048489908,604.1517236025641,883.6967999999999,890.97867,94247.668882
LoL: Hanwha Life Esports vs T1 - Game 1 Winner,10949.472753000002,101,49,140432.544417,91.00085245631105,1527.9211065841585,510.60888,17347.01289,154320.031765
Will the price of Solana be between $130 and $140 ,127.97818000000001,47,47,9333.029394,100.0,198.57509348936173,221.323333,663.3,9333.029394
Al Ittihad Saudi Club vs. Al Ettifaq Saudi Club: O,51.529804999999996,42,42,12219.721699,100.0,290.9457547380953,193.99999849999998,1451.3400000000001,12219.721699
Pelicans vs. Pacers: O/U 236.5,14734.972797000002,88,38,77195.6158,81.32749102453285,1078.6302340909092,583.2,4700.64,94919.4606
"Bitcoin Up or Down - January 16, 5PM ET",200.0,36,36,17804.562338,100.0,494.57117605555555,232.4307,1703.95434,17804.562338
Dota 2: Power Rangers vs Inner Circle (BO3),168.326085,33,33,13800.021915000001,100.0,418.18248227272727,234.765,1020.81816,13800.021915000001
Will the price of Solana be between $160 and $170 ,72.6,33,33,8320.019478,100.0,252.12180236363636,189.99981,2245.87044,8320.019478
Pelicans vs. Pacers: O/U 237.5,14023.515578000028,60,31,60571.698000000004,82.573508401895,1222.5813333333338,776.0,4283.280000000001,73354.88
Will Amazon be the third-largest company in the wo,125570.05683199997,282,29,38595.17607,15.738539457329217,869.5999197411347,997.0,1577.33376,245227.177367
Google (GOOGL) Up or Down on January 16?,153.111473,29,29,12154.23002,100.0,419.11138000000005,244.61,3124.17,12154.23002
Al Khaleej Saudi Club vs. Al Okhdood SC: O/U 3.5,56.0,29,29,16500.641287,100.0,568.9876305862068,205.9938,5112.900000000001,16500.641287
Will John Cornyn win the 2026 Texas Republican Pri,127709.94220900003,274,28,12667.520999999999,17.665758471308443,261.703048540146,242.39999999999998,496.99999999999994,71706.6353
Spread: Kings (-6.5),7670.881477,47,28,22205.696072,84.76387370568258,557.3855911702127,502.44,1599.999999,26197.122785
"Ethereum Up or Down - January 16, 8AM ET",69.707646,28,28,11052.633739,100.0,394.73691925,224.08947,1688.7295800000002,11052.633739
Cavaliers vs. 76ers: O/U 234.5,10084.911762,37,26,24621.5,90.45663489488271,735.6518918918919,713.0,1956.5,27219.12
Will Manchester United win the 2025–26 English Pre,5763.332028000001,34,26,35516.689667,96.45164457070928,1083.0385777941176,1192.1366699999999,2400.6969,36823.311645
Al Najmah Saudi Club vs. Al Fateh Saudi Club: O/U ,162.368355,25,25,10417.521485,100.0,416.70085939999996,159.72012,1799.3999999999999,10417.521485
Meta (META) Up or Down on January 16?,123.294708,25,25,13416.25469,100.0,536.6501876,224.4,3208.69,13416.25469
Russia-Ukraine Ceasefire before GTA VI?,71256.778776,211,22,9974.060000000001,16.159697235911434,292.5204962085308,308.00000000000006,496.79999999999995,61721.8247
Will the price of Solana be between $100 and $110 ,16318.511141,36,22,72429.35472,94.57259473542999,2127.3885163333334,1058.94,5017.977,76585.986588
"Will the price of Bitcoin be between $90,000 and $",68.79,22,22,5866.164417999999,100.0,266.6438371818181,154.38,2102.7,5866.164417999999
"Will the price of Ethereum be between $3,300 and $",215.67851899999974,22,22,15209.110078,100.0,691.3231853636363,376.01250000000005,2898.0,15209.110078
Spread: Pacers (-2.5),13045.811913,78,22,30840.949573,56.19984116113482,703.5549945128205,481.46500000000003,1922.4,54877.289572
Will Shai Gilgeous-Alexander win the 2025–2026 NBA,68067.072605,203,21,10259.01,18.574544528223885,272.07663152709364,242.25,780.47,55231.5562
Dota 2: Yangon Galacticos vs PlayTime - Game 2 Win,112.76830800000002,21,21,8923.30613,100.0,424.91933952380964,283.39230000000003,2038.94901,8923.30613
Panthers vs. Hurricanes,231568.38243999996,193,20,20315.72,25.080657414938518,419.6971243056995,379.20000000000005,3280.0,81001.544991
"Will the price of Bitcoin be between $86,000 and $",129.306,19,19,3013.08,100.0,158.58315789473687,119.76,249.5,3013.08
Will the Nashville Predators win the 2026 NHL Stan,7546.7415,20,18,15790.356,98.06325079676391,805.11077655,854.288,981.034,16102.215531
Pelicans vs. Pacers: O/U 235.5,9508.481743999999,24,18,36583.17,95.03452561280656,1603.9420833333334,792.1299999999999,4602.0332,38494.61
"Bitcoin Up or Down - January 16, 4AM ET",1006003.1905749999,170,17,277832.96919,43.990166901306004,3715.174773347059,1294.99371,19980.0,631579.711469
Will Tulsi Gabbard win the 2028 Republican preside,5758.4102840000005,18,17,7752.582605,98.00087698252152,439.4848769444445,358.1578545,1103.33223,7910.727785
Games Total: O/U 2.5,121.454866,17,17,4331.99808,100.0,254.82341647058826,245.729,534.01545,4331.99808
"Will the U.S. flu hospitalization rate per 100,000",217.499716,16,16,7738.434923000001,100.0,483.65218268750004,320.36656500000004,1997.996,7738.434923000001
Sharks vs. Red Wings,163075.41044700003,156,16,8827.489998000001,20.859236989268926,271.27777672435894,251.25750000000002,903.9999980000001,42319.333169
"Will Bitcoin reach $130,000 in January?",151086.7302689999,158,16,32857.194796,41.555551862531956,500.43115725316443,329.124309,4086.0567,79068.122846
Australian Open Men's: Grigor Dimitrov vs Tomas Ma,166.94372,16,16,8217.9718,100.0,513.6232375,377.1,1740.8349999999998,8217.9718
"Will the price of Bitcoin be above $92,000 on Janu",203881.07091499993,160,16,36119.310382,58.84935656411947,383.5992491125,114.1416,6193.2417,61375.879858
"Will the price of Bitcoin be above $102,000 on Jan",384256.46571299987,142,15,111288.807815,53.890378730759444,1454.2929872746479,985.304709,21910.077989999998,206509.604193
Will Trump nominate Jerome Powell as the next Fed ,785784.5510000002,143,15,12588.617001,11.100460091902994,793.0507924125875,812.5616200000001,842.379777,113406.263315
"Solana Up or Down - January 16, 12:00PM-12:15PM ET",162.28,15,15,3868.7625439999997,100.0,257.9175029333333,154.42542,999.9755369999999,3868.7625439999997
Will Elon Musk post 300-319 tweets from January 13,80606.92981699998,150,15,32534.072356,55.85764758129723,388.2974401866666,217.7296255,12134.229624,58244.616028
Counter-Strike: Spirit vs Sinners (BO3),13452.529813,64,15,33503.144883,79.41403811518722,659.186525734375,167.44,4999.999989,42187.937647
"Russia x Ukraine ceasefire by January 31, 2026?",664470.0165630004,146,15,273531.86673999997,59.87553471440392,3129.000760513699,701.894457,71797.54350999999,456834.111035
Will the Seattle Seahawks win Super Bowl 2026?,78365.60446900001,141,15,6939.258579,19.41690064855051,253.4626959361702,236.53,526.5599990000001,35738.240127
Will GTA 6 cost $100+?,89338.33971000003,150,15,10891.57485,20.928768776636712,346.94109230666663,335.544,2916.0586000000003,52041.163845999996
Will the price of XRP be between $1.90 and $2.00 o,63.24,14,14,2551.632899,100.0,182.2594927857143,204.4927915,242.19804,2551.632899
"Will the price of Ethereum be above $2,700 on Janu",100.300333,14,14,3964.62938,100.0,283.1878128571429,107.47736499999999,998.9,3964.62938
Israel nuclear weapon use against Iran by January ,349592.7980710001,131,14,74798.22168,26.70854141646905,2137.81345280916,1988.0,9940.0,280053.562318
Trump out as President before 2027?,174482.4286059999,139,14,101211.961798,71.47797262922869,1018.6965064532375,218.286,57647.072198,141598.814397
Fed decreases interest rates by 50+ bps after Janu,5838027.675018996,139,14,189812.14728,25.343669872240245,5388.150269028778,1296.1,13669.899900999999,748952.887395
Will Apple (AAPL) close at $260-$265 on the final ,167.24,14,14,6054.3954,100.0,432.4568142857143,256.29708,1299.7952,6054.3954
"Will the price of Ethereum be above $3,500 on Janu",100716.61425299996,126,14,25294.35895,35.01990918185089,573.2421506666666,238.44938050000002,9592.077290000001,72228.51098400001
Fogo FDV above $1B one day after launch?,138798.45428699994,134,14,55349.89362,41.306680911144525,999.9808711343284,560.39472,8999.999998,133997.436732
"Will the price of Bitcoin be above $92,000 on Janu",12971.107729000001,21,14,33028.278379,96.37456439466727,1631.9400982857146,2752.18325,2760.8,34270.742064
Will Paris Saint-Germain FC win on 2026-01-16?,150116.394761,133,14,95063.0996,77.02700939494036,927.9344388195489,191.89499999999998,17877.5657,123415.280363
Will Perth Glory FC win on 2026-01-16?,6994.495185,58,13,14709.802158,67.30962898554674,376.7919722758621,174.0,4999.999996,21853.934392
LoL: HMBLE vs Zena Esports (BO1),12923.844332,55,13,11973.708122,43.09275198551678,505.1981458727273,554.3238460000001,2018.4669230000002,27785.898023
"Will Bitcoin reach $125,000 in January?",65392.336564,78,13,41765.89978,60.63140545287875,883.1400980897437,262.186496,6577.339779999999,68884.927651
Will the Chicago Bears win Super Bowl 2026?,274033.2523289994,130,13,6234.884999999999,15.138483571989363,316.8128010846154,327.0475,623.04,41185.664141
Will Vivek Ramaswamy win the 2028 US Presidential ,129011.29143799999,127,13,16109.778885999998,15.157397898070386,836.8761808503938,977.98817,2158.2,106283.274968
Will the Fed increase interest rates by 25+ bps af,221328.103915,123,13,31712.76436,36.40948423140172,708.1323945203251,401.82081,9995.822100000001,87100.284526
Will LeBron James win the 2028 Democratic presiden,224172.788512,127,13,18409.32807,21.53811521636304,673.0177533070867,465.42656,2014.91111,85473.25467
Will the New Orleans Pelicans win the 2026 NBA Fin,264118.81399999995,129,13,12522.7647,14.218409507141358,682.7465146511627,877.8213000000001,964.2348000000001,88074.30039
LoL: DN Freecs vs Dplus KIA (BO3),95043.685406,122,13,82601.891781,55.85540581909849,1212.1739638278686,404.64014899999995,27114.23862,147885.223587
Will Brisbane Roar FC win on 2026-01-16?,7045.8805649999995,54,12,6590.5602,45.74448450269124,266.8024625,205.41,884.676,14407.332975
Will Wicked: For Good win Best Picture at the 98th,13747.066,21,12,10999.233341,79.31705591384491,660.3535774285714,739.99926,1274.259465,13867.425126
Will the price of Solana be between $120 and $130 ,158.42020000000002,12,12,2176.620686,100.0,181.38505716666666,189.99981,222.88,2176.620686
Will Eintracht Frankfurt win on 2026-01-16?,89173.12248999988,116,12,46386.553369999994,55.40836474646794,721.7034514655172,307.6596,8819.549998999999,83717.60037
"US strikes Iran by January 18, 2026?",1029864.5450739997,117,12,80225.667399,59.12723416021587,1159.6846608632477,360.869998,13685.082857,135683.105321
"US strikes Iran by January 16, 2026?",1926198.572914002,117,12,74680.558471,51.11507120305151,1248.7420178119658,525.8303599999999,29100.0,146102.816084
Spread: William & Mary Tribe (-13.5),692853.0381580002,113,12,629885.6492,91.55521069819974,6088.3583167433635,314.081314,146030.2322,687984.4897919999
Will the Minnesota Wild win the 2026 NHL Stanley C,18322.035839000004,109,12,5487.374,14.986103249796995,335.93042764220183,346.892,499.37199999999996,36616.416613
Will Avatar: Fire and Ash win Best Picture at the ,14089.298,20,12,10981.992,86.24087387445165,636.7045872,863.27,995.006,12734.091744
"New ""Stranger Things"" episode released by January ",461335.47415,113,12,226544.600759,61.17919926238208,3276.96259499115,596.32,40053.65585,370296.773234
Will Xavier Bertrand win the 2027 French president,13515.535,13,12,10720.516,98.48567198835099,837.3350765384615,882.232,995.006,10885.355995
"Will US or Israel strike Iran by January 31, 2026?",336493.1819630002,115,12,28109.564932999998,48.3665588289937,505.3719043391304,243.1548,5740.8273,58117.768999
Will Khamenei leave Iran by Jan 16?,329418.0253390001,120,12,122180.40313,64.5524179908711,1577.276355825,522.365,56980.5984,189273.162699
Fed increases interest rates by 25+ bps after Janu,5640886.060619996,118,12,162523.648338,26.829525679698452,5133.594496432202,528.039432,13555.719711000002,605764.150579
"Will the price of Ethereum be between $3,200 and $",141.74,11,11,5817.1451,100.0,528.8313727272727,183.4938,2685.69,5817.1451
Will there be another US government shutdown by Ja,99682.04527199999,84,11,10410.150291,36.57975761191081,338.7949201904762,226.0536,1736.6644,28458.773296
Will Elon Musk post 120-139 tweets from January 16,95022.21175300003,102,11,58720.205758,27.369049528586615,2103.4281484411767,1797.494073,8189.999998,214549.671141
Will the Iranian regime fall by June 30?,103065.29227200004,105,11,25255.776997,48.873348116353085,492.15210081904763,264.4892,6394.2994,51675.970585999996
NVIDIA (NVDA) Up or Down on January 16?,196.303414,11,11,2408.325963,100.0,218.9387239090909,197.81198999999998,352.55,2408.325963
Counter-Strike: MINLATE vs DimoniX Esports (BO1),6635.963605,27,11,6997.05701,72.68608977805377,356.5334996296296,202.51,999.0,9626.40449
Will Z.ai have the best AI model at the end of Mar,8450.2455,13,11,9380.276,97.73019030531268,738.3181083076923,851.438,991.018,9598.135408
Australian Open Men's: Learner Tien vs Marcos Giro,207.213611,11,11,4965.763999,100.0,451.4330908181819,358.992,1431.2935,4965.763999
Will Apple (AAPL) close at <$235 on the final day ,211.17000000000002,11,11,6399.22437,100.0,581.7476699999999,289.71,3656.34,6399.22437
"US strikes Iran by January 23, 2026?",477300.273392,108,11,55031.436895,52.64914934443827,967.822553574074,327.70000000000005,12888.409998999998,104524.835786
Wizards vs. Kings,216934.19919299995,72,11,16722.568017999998,43.75117705263974,530.8608928611111,284.0213,3550.0,38221.984286
Will Mike Pence win the 2028 Republican presidenti,1312312.4569440002,103,11,45136.54322,46.42473798754883,943.9339567864079,453.01355,4406.934,97225.197549
"Will the price of Ethereum be between $2,900 and $",118135.44737700002,104,11,15532.895444,14.199695017773273,1051.8167023846154,1065.999728,3996.0,109388.937048
Khamenei out as Supreme Leader of Iran by March 31,718691.4742050002,101,11,40842.92422,47.378098108895394,853.5281162772278,351.4852,7300.0,86206.339744
Spread: Red Wings (-1.5),5763.046069,24,10,6061.909998,71.80204419783004,351.7721341666667,238.00152250000002,1484.487,8442.53122
"Will the price of Bitcoin be between $98,000 and $",69.714544,10,10,1973.5,100.0,197.35,140.25,475.0,1973.5
Will the price of Solana be above $160 on January ,136.325812,10,10,3764.7272860000003,100.0,376.47272860000004,231.93333300000003,999.0,3764.7272860000003
"Israel x Iran ceasefire broken by March 31, 2026?",59205.789353000044,97,10,19855.5515,42.86726867447236,477.51212882474226,273.0,5128.1078,46318.676496
Adelaide International: Alejandro Davidovich Fokin,75427.33577199999,90,10,45556.59458,60.10402537984616,842.1805045888889,239.76,7067.905019999999,75796.245413
Game Handicap: DK (-1.5),76374.79955700002,60,10,55786.607,64.502320116781,1441.4625422,342.82500000000005,8100.000000000001,86487.752532
Predators vs. Avalanche: O/U 6.5,50.886791,10,10,30223.171631999998,100.0,3022.3171632,975.2426,12742.6215,30223.171631999998
LoL: Deep Cross Gaming vs Fukuoka SoftBank Hawks G,9091.064789999999,39,10,18792.331374,74.99085685551356,642.5512,264.85488,5216.976,25059.4968
"Bitcoin Up or Down - January 16, 8:00AM-12:00PM ET",8000.0,11,10,7700.0,96.25,727.2727272727273,600.0,2000.0,8000.0
Suns vs. Knicks,6822.663666000001,20,10,5425.687998,70.30452107656757,385.8704899,313.3441,999.999998,7717.409798
Will Google Gemini 3 score at least 70% on the Fro,6604.672198,16,10,7640.76798,85.52374584007411,558.3805924999999,432.18999999999994,1677.194,8934.08948
"Will Bitcoin dip to $60,000 in January?",9409.062352000003,21,10,13589.502594000001,79.46866008719596,814.3073891428572,360.099998,2574.949953,17100.455172
Will Opendoor (OPEN) close at >$11 on the final da,12492.538,12,10,11914.525132,93.11898440681539,1066.2456218333334,1180.474344,1279.45926,12794.947462
Will XRP reach $3.00 in January?,12738.019424,18,10,17079.681153999998,87.54484012273194,1083.8687624444442,1038.4722299999999,2424.2558,19509.637724
Will Apple (AAPL) finish week of January 12 above ,13421.337000000003,13,10,12710.659617000001,93.06213859324242,1050.6346213846157,1190.3694389999998,1736.9613,13658.250078000001
"Will the price of Bitcoin be above $90,000 on Janu",466399.17764599976,93,10,91940.13786300001,59.97750920949865,1648.2905775268819,239.52,24999.999998,153291.02371
Will Elon Musk post 480-499 tweets from January 9 ,651671.062942,96,10,131422.762994,74.63564048873667,1834.2270603645832,269.25048000000004,39960.0,176085.797795
Fed decreases interest rates by 25 bps after Janua,1548303.6992599985,93,10,72549.545795,64.65951376472607,1206.477744010753,390.313,18237.56193,112202.430193
"US strikes Iran by January 31, 2026?",1657856.7418119996,99,10,20017.990498,42.813466746718724,472.2858006767677,254.16,3296.3382,46756.294267
Will the Sacramento Kings win the 2026 NBA Finals?,124991.12000000005,92,10,13886.893467,31.507450259324838,479.0755613804348,259.605135,2083.399515,44074.951647
Will Katie Britt win the 2028 Republican president,153608.573,100,10,32173.981924,44.91578154130362,716.31798045,431.26800000000003,4215.815,71631.798045
"Will the price of Ethereum be above $3,600 on Janu",157504.00698699994,96,10,35350.98242,33.032923934461785,1114.7647751041666,868.6095755000001,6045.809139,107017.41841
Fogo FDV above $2B one day after launch?,77928.19879800001,93,10,48368.241717000004,45.02519980177805,1155.105636182796,472.94658000000004,11999.988,107424.824165
Will the Fed decrease interest rates by 50+ bps af,83225.16959700004,97,10,31380.267584999998,43.41600196546068,745.1352003917526,347.072,9948.59218,72278.114438
"Will Ethereum reach $6,000 in January?",91226.04449700002,96,10,13647.130099,39.033021651834865,364.19831,192.719349,2447.28156,34963.03776
Will China invade Taiwan by end of 2026?,95824.70048799999,84,10,43929.260598,61.22832003394675,854.1266325476191,259.0,13759.8022,71746.637134
"Russia x Ukraine ceasefire by March 31, 2026?",123577.25521099987,93,10,27134.868300000002,54.57639852789106,534.6134689892473,222.5,5932.74,49719.052616
Fogo FDV above $700M one day after launch?,203200.48879099998,97,10,25857.652316,39.34608485208572,677.5101924845361,383.376,6818.12436,65718.488671
Will the Iranian regime fall by March 31?,199295.277416,83,9,30742.275048,44.558824495705174,831.2356984096388,418.0,5522.4929999999995,68992.562968
Will the San Francisco 49ers win Super Bowl 2026?,164967.1870150005,80,9,7664.775105,26.407788338868105,362.808454775,328.653,1976.1598599999998,29024.676381999998
Will Trump nominate Kevin Hassett as the next Fed ,174786.42388799996,87,9,23658.936699,54.97793210830082,494.6381042528735,216.82999900000002,7293.357400000001,43033.51507
Will the Washington Wizards win the 2026 NBA Final,295075.0780000001,85,9,9104.748376,13.969136439931725,766.7953365411764,880.8183,1137.38148,65177.603606
Will Greg Abbott win the 2028 US Presidential Elec,350345.138821,82,9,53946.794487,48.15301978534635,1366.2439875609755,819.980585,18091.58616,112032.00697999999
"Will Bitcoin reach $150,000 in January?",494957.27801999985,81,9,47870.526262,54.482905131724266,1084.733183654321,514.3699130000001,10290.7676,87863.387876
"Israel strikes Iran by January 31, 2026?",857238.2477160012,88,9,19701.103324,49.32352850033491,453.8932654318182,235.38209999999998,9685.7892,39942.607358
Spread: Kings (-1.5),64.0,9,9,1486.053361,100.0,165.11704011111112,153.6,249.6,1486.053361
Will the highest temperature in Dallas be between ,161.045584,9,9,5013.841416,100.0,557.0934906666666,185.4445,2008.02,5013.841416
Will XRP dip to $1.50 January 12-18?,157.957,9,9,20861.614659,100.0,2317.9571843333338,2529.9572900000003,2558.96002,20861.614659
Khamenei out as Supreme Leader of Iran by June 30?,159821.792116,89,9,23183.492398,39.7200556145737,655.811465011236,315.0,4464.929999,58367.220386
Will Trump nominate Kevin Warsh as the next Fed ch,146879.73824599996,89,9,9778.131899,35.40902014595259,310.2787089213483,220.0,1975.0343,27614.805094
"Will Bitcoin reach $115,000 in January?",122691.95147300002,86,9,78679.227679,69.84282871283501,1309.905050116279,248.95,22557.589998,112651.83430999999
Will the Denver Broncos win Super Bowl 2026?,89324.763992,85,9,11826.34234,27.82132794710676,500.09632738823524,389.9628,1626.2150000000001,42508.187828
Will Elon Musk post 100-119 tweets from January 16,81502.51748200001,59,9,49983.277828,41.24960784732086,2053.7751622033898,1761.789998,7776.999997999999,121172.73457
Will the U.S. invade Greenland in 2026?,78154.746662,81,9,41108.395000000004,53.402547974837546,950.3498777283951,352.0,12724.6059,76978.340096
Spread: Seahawks (-7.5),75067.700624,52,9,49457.963261,69.39484261274814,1370.584098596154,246.536949,7493.989999,71270.373127
Bank of Japan decreases interest rates after Janua,63663.171208,84,9,18515.110487,44.134937582727105,499.41836119047616,259.593,5505.005,41951.14234
SCOTUS accepts sports event contract case by July ,60554.20196399999,87,9,3960.9192,18.69912736076243,243.47556983908044,211.5792,494.76,21182.374576
Will the 49ers win the 2026 NFC Championship?,59796.17228200001,78,9,4350.952,18.51367754825768,301.2985170128205,312.784,496.296,23501.284327
"Will the price of Bitcoin be above $82,000 on Janu",19410.897499999995,88,9,7735.938496,41.5595192891406,211.5240828181818,139.33452599999998,2281.179537,18614.119287999998
Will no Fed rate cuts happen in 2026?,17889.144254,31,9,16210.212126999999,76.40230066940373,684.4166524193547,247.22499000000002,3804.0,21216.916224999997
"Will the price of Ethereum be above $2,600 on Janu",14188.20933300001,82,9,2279.865675,18.085511872618312,153.73211515853657,143.654806,303.31964500000004,12606.033443
Pelicans vs. Pacers: O/U 238.5,9710.403168000003,28,9,7211.000197,72.52236834822088,355.1121222142857,130.5,1099.9999990000001,9943.139422
Will NVIDIA (NVDA) finish week of January 12 above,11064.976,11,9,10677.75156,95.4884289369488,1016.5678690909091,804.3348599999999,2215.15263,11182.24656
Melbourne City FC vs. Auckland FC: O/U 2.5,11458.947699,73,9,20031.06022,58.40449415959282,469.8235797671233,213.74999999999997,6567.8273,34297.121323
Will the highest temperature in Seoul be 0°C on Ja,137.761126,9,9,27797.03142,100.0,3088.5590466666663,1999.998,9990.0,27797.03142
Will the highest temperature in Dallas be between ,161.045584,9,9,5013.841416,100.0,557.0934906666666,185.4445,2008.02,5013.841416
"Will Bitcoin dip to $50,000 in January?",7192.585731,21,9,5883.810521,65.71011497167963,426.3901432857143,355.309998,1278.719935,8954.193009
Spread: Avalanche (-1.5),6944.373526000001,22,9,4470.892799,62.40119876629456,325.6706665454545,310.438679,580.74,7164.754664
Will the price of Solana be above $130 on January ,166.878,9,9,1684.232512,100.0,187.13694577777778,220.72,232.645714,1684.232512
Will Amazon (AMZN) close at >$270 on the final day,12977.298999999999,12,9,12161.324502,93.33373099302935,1085.8279185,1063.0194165,3730.999266,13029.935022
Will Microsoft (MSFT) finish week of January 12 ab,8637.722,9,9,8629.074188,100.0,958.786020888889,982.229787,992.469537,8629.074188
"Bitcoin Up or Down - January 16, 6PM ET",200.0,8,8,1534.4783,100.0,191.80978750000003,184.72355,268.16,1534.4783
Will the price of Solana be between $120 and $130 ,5879.740169999999,13,8,7368.311242,88.36442048397764,641.4269106923076,509.73484,1972.0,8338.549839
Will Opendoor (OPEN) close at $6.00-$7.00 on the f,191.88,8,8,5327.14651,100.0,665.8933137500001,846.20025,1065.92301,5327.14651
Bills vs. Broncos,348200.1099380004,77,8,22365.745689000003,33.32076978735929,871.7212464805194,745.038679,5300.0,67122.53597900001
Will Trump acquire Greenland before 2027?,647713.3556309992,63,8,25881.7004,58.2278523662017,705.5397452857144,243.2813,4999.679999999999,44449.003953
"Will the US next strike Iran on January 15, 2026 (",300439.72256699996,75,8,26814.58054,50.284012667074165,711.0167259333332,253.49195999999998,4895.1,53326.254445
Spread: Patriots (-3.5),287369.426539,38,8,204794.101,71.71702865703338,7514.698459052633,1407.1818000000003,40057.85050000001,285558.541444
"US strikes Iran by March 31, 2026?",258216.8688379997,78,8,6632.784996,28.80177425597613,295.2446759743589,204.0,999.9999990000001,23029.084726
"Will Bitcoin reach $105,000 in January?",238976.73348100003,61,8,12157.865,47.754861602019176,417.3591035737705,250.0,4295.271699999999,25458.905317999997
"Will the price of Bitcoin be above $88,000 on Janu",184647.60389000006,65,8,11369.068551,46.99277158813719,372.20351349230776,177.57225,2997.0,24193.228377
"US strikes Iran by June 30, 2026?",183606.85241000034,78,8,10336.834796000001,38.69728602976087,342.46206032051293,204.4776995,1999.9999979999998,26712.040705
Will Henrique Gouveia e Melo win the 2026 Portugal,164934.43886499995,72,8,23742.90309,56.37375476009574,584.9575645972222,190.93189999999998,7551.48984,42116.944651
"Will Bitcoin dip to $85,000 in January?",160597.50862099996,76,8,19457.162794,50.1455990737402,510.54390544736833,245.98295000000002,4777.799,38801.336814
"Will the price of Bitcoin be above $98,000 on Janu",143309.73933299998,73,8,13790.481802,44.180471284650025,427.5887153835617,219.98333300000002,2999.999829,31213.976222999998
Khamenei out as Supreme Leader of Iran in 2026?,134358.94370600008,71,8,20278.6871,46.41272225613092,615.3815104647888,250.0,4478.7394,43692.087243
Will the Los Angeles Rams win Super Bowl 2026?,120419.6215449999,74,8,4023.498419,18.896120099140074,287.7394934594595,261.63727950000003,550.9169,21292.722516
Will the Golden State Warriors win the 2026 NBA Fi,105302.675066,48,8,27456.765,78.35532452506904,730.0281646041667,149.37563649999998,13957.125,35041.351901
Will the Toronto Raptors win the 2026 NBA Finals?,98412.871948,72,8,26360.263039999998,60.61100239499157,604.0401081944443,244.18098600000002,3864.832,43490.88779
Football.Fun FDV above $70M one day after launch?,93668.787928,73,8,7868.687996,34.736788934732274,310.3057301095891,188.69760000000002,1938.7129,22652.318298000002
Will Elon Musk post 140-159 tweets from January 16,93076.38101199998,77,8,30169.825782,34.342699900567126,1140.9001632987013,860.9999979999999,5534.46,87849.312574
Will the Brooklyn Nets win the 2026 NBA Finals?,79145.79799999998,72,8,9277.24417,40.19918042000281,320.53044894444446,154.34550000000002,2245.5,23078.192324
